יצרן,דגם,שנת יצור,סוג מנוע,נפח מנוע,צריכה - נתוני יצרן,צריכה - מבחן כביש
מיצובישי,ספייס סטאר,2020,בנזין,1.2,"20.1 ק""מ לליטר","16 ק""מ לליטר"
מיצובישי,ספייס סטאר,2022,בנזין,1.2,"18.3 ק""מ לליטר","16 ק""מ לליטר"
מרצדס,C-180,2019,בנזין,1.6 טורבו,"15.3 ק""מ לליטר","12 ק""מ לליטר"
מרצדס,C-200,2019,בנזין,1.5 טורבו,"15.3 ק""מ לליטר","11 ק""מ לליטר"
מרצדס,C-300 קופה,2019,בנזין,2.0,"15 ק""מ לליטר","10.5 ק""מ לליטר"
מרצדס,GLA 200,2019,בנזין,1.6,"15.1 ק""מ לליטר","12 ק""מ לליטר"
ניסאן,אלטימה,2019,בנזין,2.5,"13.2 ק""מ לליטר","11.5 ק""מ לליטר"
ניסאן,אלטימה,2020,בנזין,2.5,"13.5 ק""מ לליטר","11.5 ק""מ לליטר"
ניסאן,אקס טרייל,2019,בנזין,1.3 בנזין,"15 ק""מ לליטר","11.5 ק""מ לליטר"
ניסאן,אקס טרייל,2020,בנזין,1.3,"15 ק""מ לליטר","11.5 ק""מ לליטר"
ניסאן,אקס טרייל,2020,דיזל,1.7,"17.5 ק""מ לליטר","13 ק""מ לליטר"
ניסאן,אקס טרייל,2021,בנזין,1.3,"12 ק""מ לליטר","11.5 ק""מ לליטר"
ניסאן,ליפ,2021,חשמלי,סוללה 40 KWH,"טווח נסיעה: 270 ק""מצריכת חשמל: 170 וואט-שעה לק""מ","טווח נסיעה: 240 ק""מצריכת חשמל: 167 וואט-שעה לק""מ"
ניסאן,סנטרה,2019,בנזין,1.8,"11.3 ק""מ לליטר","12.7 ק""מ לליטר"
ניסאן,סנטרה,2020,בנזין,1.8,"15 ק""מ לליטר","12.5 ק""מ לליטר"
ניסאן,סנטרה,2020,בנזין,2.0,"14 ק""מ לליטר","12.5 ק""מ לליטר"
ניסאן,סנטרה,2021,בנזין,2.0,"16.1 ק""מ לליטר","12.5 ק""מ לליטר"
ניסאן,קשקאי,2019,בנזין,1.3 בנזין,"18.5 ק""מ לליטר","14.5 ק""מ לליטר"
ניסאן,קשקאי,2019,בנזין,1.5 דיזל,"25 ק""מ לליטר","18 ק""מ לליטר"
ניסאן,קשקאי,2020,בנזין,1.3 בנזין,"17.7 ק""מ לליטר","14 ק""מ לליטר"
ניסאן,קשקאי,2020,דיזל,1.5,"24 ק""מ לליטר","16.5 ק""מ לליטר"
ניסאן,קשקאי,2021,דיזל,1.5,"18.8 ק""מ לליטר","16.5 ק""מ לליטר"
סובארו,פורסטר,2019,בנזין,2.5,"12.2 ק""מ לליטר","10.5 ק""מ לליטר"
סוזוקי,S קרוס,2022,היברידי,1.4,"17.5 ק""מ לליטר","15 ק""מ לליטר"
סוזוקי,איגניס,2020,היברידי בנזין,1.2,"22.3 ק""מ לליטר","18 ק""מ לליטר"
סוזוקי,באלנו,2019,בנזין,1.2,"21.2 ק""מ לליטר","16 ק""מ לליטר"
סוזוקי,באלנו,2020,בנזין,1.2,"21.2 ק""מ לליטר","16 ק""מ לליטר"
סוזוקי,ג'ימיני,2019,בנזין,1.5,"13.3 ק""מ לליטר","11.5 ק""מ לליטר"
סוזוקי,ויטארה,2019,בנזין,1.0,"17.5 ק""מ לליטר","15 ק""מ לליטר"
סוזוקי,ויטארה,2019,בנזין,1.4,"16.9 ק""מ לליטר","14.5 ק""מ לליטר"
סוזוקי,ויטארה,2020,בנזין,1.4,"16.9 ק""מ לליטר","14.5 ק""מ לליטר"
סוזוקי,ויטארה,2021,היברידי,1.4,"17.5 ק""מ לליטר","15.5 ק""מ לליטר"
סוזוקי,ויטארה,2022,היברידי,1.4,"17.5 ק""מ לליטר","15.5 ק""מ לליטר"
סוזוקי,סוויפט,2020,בנזין היברידי,1.2,"18.5 ק""מ לליטר","16 ק""מ לליטר"
סוזוקי,סוויפט,2021,היברידי,1.2,"18.5 ק""מ לליטר","15.5 ק""מ לליטר"
סוזוקי,סופר סוויפט,2019,בנזין,1.25,"21.2 ק""מ לליטר","16 ק""מ לליטר"
סוזוקי,קרוסאובר,2019,בנזין,1.4,"18.5 ק""מ לליטר","14.5 ק""מ לליטר"
סוזוקי,קרוסאובר,2020,בנזין,1.4,"18.5 ק""מ לליטר","14.5 ק""מ לליטר"
סוזוקי,קרוסאובר,2021,היברידי,בנזין 1.4,"17.5 ק""מ לליטר","15.5 ק""מ לליטר"
סוזוקי,קרוסאובר,2022,היברידי,1.4,"17.5 ק""מ לליטר","14 ק""מ לליטר"
סיאט,אטקה,2019,בנזין,1.4,"17.5 ק""מ לליטר","13 ק""מ לליטר"
סיאט,אטקה,2020,בנזין,1.5,"17.4 ק""מ לליטר","13 ק""מ לליטר"
סיאט,אטקה,2021,בנזין,1.5,"17.4 ק""מ לליטר","13 ק""מ לליטר"
סיאט,איביזה,2021,בנזין,1.0,"16.9 ק""מ לליטר","14 ק""מ לליטר"
סיאט,איביזה,2022,בנזין,1.5,"16.1 ק""מ לליטר","14 ק""מ לליטר"
סיאט,ארונה,2019,בנזין,1.0,"20 ק""מ לליטר","15.5 ק""מ לליטר"
סיאט,ארונה,2022,בנזין,1.0,"16.6 ק""מ לליטר","13.5 ק""מ לליטר"
סיטרואן,C3,2019,בנזין,1.2,"20.4 ק""מ לליטר","14 ק""מ לליטר"
סיטרואן,C3,2022,בנזין,1.2,"16.6 ק""מ לליטר","14 ק""מ לליטר"
סיטרואן,C4,2021,בנזין,1.2,"16.6 ק""מ לליטר","13 ק""מ לליטר"
סיטרואן,C4 e,2021,חשמלי,סוללה 50 KWH,"טווח נסיעה: 351 ק""מצריכת חשמל: 160 וואט-שעה לק""מ","טווח נסיעה: 275 ק""מצריכת חשמל: 167 וואט-שעה לק""מ"
סיטרואן,C4 ספייס טורר,2019,בנזין,1.2,"19.6 ק""מ לליטר","13 ק""מ לליטר"
סיטרואן,C4 ספייס טורר,2020,בנזין,1.2,"19.6 ק""מ לליטר","13 ק""מ לליטר"
סיטרואן,C5 אייר קרוס,2019,בנזין,1.6,"17.5 ק""מ לליטר","12.5 ק""מ לליטר"
סיטרואן,C5 אייר קרוס,2022,דיזל,1.5,"18.8 ק""מ לליטר","15 ק""מ לליטר"
סיטרואן,גראנד ספייס טורר C4,2021,בנזין,1.2,"14.7 ק""מ לליטר","12 ק""מ לליטר"
סיטרואן,קקטוס,2019,בנזין,1.2,"19.6 ק""מ לליטר","14.5 ק""מ לליטר"
סקודה,אוקטביה,2019,בנזין,1.0,"21.7 ק""מ לליטר","11.5 ק""מ לליטר"
סקודה,אוקטביה,2019,בנזין,1.5,"20 ק""מ לליטר","15 ק""מ לליטר"
סקודה,אוקטביה,2020,בנזין,1.0,"22.4 ק""מ לליטר","14.5 ק""מ לליטר"
סקודה,אוקטביה,2020,בנזין,1.5,"20 ק""מ לליטר","15 ק""מ לליטר"
סקודה,אוקטביה,2021,בנזין,1.5,"17.8 ק""מ לליטר","14 ק""מ לליטר"
סקודה,אניאק,2021,חשמלי,"סוללה 82 קוט""ש","טווח נסיעה: 517 ק""מצריכת חשמל: 176 וואט-שעה לק""מ","טווח נסיעה: 445 ק""מצריכת חשמל: 185 וואט-שעה לק""מ"
סקודה,סופרב,2019,בנזין,1.5,"18.3 ק""מ לליטר","13 ק""מ לליטר"
סקודה,סופרב,2020,בנזין,2.0,"16 ק""מ לליטר","13 ק""מ לליטר"
סקודה,סופרב,2021,בנזין,2.0,"13.8 ק""מ לליטר","13 ק""מ לליטר"
סקודה,סקאלה,2020,בנזין,1.0,"19.6 ק""מ לליטר","15 ק""מ לליטר"
סקודה,סקאלה,2021,בנזין,1.0,"17.5 ק""מ לליטר","14.5 ק""מ לליטר"
סקודה,פאביה,2022,בנזין,1.0,"16.9 ק""מ לליטר","15 ק""מ לליטר"
סקודה,קאמיק,2020,בנזין,1.0,"20 ק""מ לליטר","14.5 ק""מ לליטר"
סקודה,קאמיק,2021,בנזין,1.0,"17 ק""מ לליטר","14.5 ק""מ לליטר"
סקודה,קאמיק,2021,בנזין,1.5,"15.8 ק""מ לליטר","14 ק""מ לליטר"
סקודה,קארוק,2019,בנזין,1.5,"17.8 ק""מ לליטר","14 ק""מ לליטר"
סקודה,קארוק,2020,בנזין,1.5,"17.8 ק""מ לליטר","14 ק""מ לליטר"
סקודה,קארוק,2021,בנזין,1.5,"15.1 ק""מ לליטר","13 ק""מ לליטר"
סקודה,קודיאק,2019,בנזין,1.5,"15.8 ק""מ לליטר","13 ק""מ לליטר"
סקודה,קודיאק,2019,בנזין,2.0 דיזל,"20 ק""מ לליטר","15 ק""מ לליטר"
סקודה,קודיאק,2020,בנזין,1.5,"15.8 ק""מ לליטר","13 ק""מ לליטר"
סקודה,קודיאק,2020,דיזל,2.0,"20 ק""מ לליטר","14.5 ק""מ לליטר"
סקודה,קודיאק,2021,בנזין,1.5,"13 ק""מ לליטר","12 ק""מ לליטר"
סרס,3,2021,חשמלי,KWH-52.7,"טווח נסיעה: 301 ק""מצריכת חשמל: 180 וואט-שעה לק""מ","טווח נסיעה: 264 ק""מצריכת חשמל: 200 וואט-שעה לק""מ"
פולקסווגן,טי קרוס,2020,בנזין,1.0,"20 ק""מ לליטר","14.5 ק""מ לליטר"
פורד,אדג',2019-20,בנזין,2.0,"10.6 ק""מ לליטר","8 ק""מ לליטר"
פורד,פוקוס אקטיב X,2020,בנזין,1.5,"17.3 ק""מ לליטר","13 ק""מ לליטר"
פורד,קוגה,2019,בנזין,1.5,"11 ק""מ לליטר","10 ק""מ לליטר"
פיג'ו,2008,2019,בנזין,1.2,"20.8 ק""מ לליטר","14.5 ק""מ לליטר"
